RAW,ATTENTION,MEDITATION,DELTA,THETA,ALPHA1,ALPHA2,BETA1,BETA2,GAMMA1,GAMMA2,MOOD
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
43,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
43,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
43,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
45,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
43,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
45,,,,,,,,,,,0
45,,,,,,,,,,,0
45,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
45,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
44,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0
